customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment
6,Kayla Smith,462,6,15517,1,1,4,4,9,144,At Risk
12,Christopher Clark,279,6,15378,0,2,4,4,10,244,At Risk
14,Darren Myers,539,6,16161,1,1,4,4,9,144,At Risk
25,Jose Boone,304,6,17455,0,2,4,4,10,244,At Risk
26,Eric Roach,431,6,19699,1,1,4,5,10,145,At Risk
29,Frank Smith,478,7,16694,0,1,4,4,9,144,At Risk
32,James Blake,423,6,17567,1,2,4,4,10,244,At Risk
48,Chris Taylor,456,5,17172,1,1,3,4,8,134,At Risk
54,Beth Garcia,252,5,17813,0,2,3,4,9,234,At Risk
61,William Strong,369,6,15414,0,2,4,4,10,244,At Risk
62,Melissa Mcknight,247,5,12484,1,2,3,3,8,233,At Risk
68,Evan Fuller,423,8,24392,0,2,5,5,12,255,At Risk
69,Christopher Bush,312,6,14878,0,2,4,4,10,244,At Risk
81,Isaac Ingram,357,8,26059,1,2,5,5,12,255,At Risk
85,Mark Bradford,262,6,13092,0,2,4,3,9,243,At Risk
103,Jerry Snyder,486,6,15288,0,1,4,4,9,144,At Risk
107,Margaret Parks,247,5,11656,0,2,3,3,8,233,At Risk
110,Cynthia Sanchez,256,6,20022,0,2,4,5,11,245,At Risk
111,Joseph Lynch,323,5,16366,0,2,3,4,9,234,At Risk
116,Alicia Davis,767,5,15076,0,1,3,4,8,134,At Risk
120,Kevin Tate,297,5,12304,0,2,3,3,8,233,At Risk
129,Amanda Jackson,401,6,13211,1,2,4,3,9,243,At Risk
132,Michael Avila,265,6,16192,0,2,4,4,10,244,At Risk
136,Randy Nguyen,545,8,23349,0,1,5,5,11,155,At Risk
149,Taylor Massey,388,6,17933,0,2,4,4,10,244,At Risk
151,Marcus Price,493,5,14501,1,1,3,3,7,133,At Risk
180,Victoria Brown,338,5,17410,0,2,3,4,9,234,At Risk
186,Christopher Jackson,249,7,21730,0,2,4,5,11,245,At Risk
194,Tracie Huang,313,5,14236,0,2,3,3,8,233,At Risk
196,Patricia Davis,524,5,12081,0,1,3,3,7,133,At Risk
197,Samuel Hoffman,307,5,16963,0,2,3,4,9,234,At Risk
202,Nicole Stein,294,5,11379,0,2,3,3,8,233,At Risk
208,Deborah Medina,698,5,12090,0,1,3,3,7,133,At Risk
235,Lindsey Walker,858,5,16282,0,1,3,4,8,134,At Risk
237,Ryan Anderson,683,6,16232,1,1,4,4,9,144,At Risk
242,John Roberts,310,6,18077,0,2,4,4,10,244,At Risk
245,Ryan Bishop,321,5,16285,0,2,3,4,9,234,At Risk
252,Maria Kim,550,5,14838,0,1,3,4,8,134,At Risk
257,Frank Morgan,248,8,22547,0,2,5,5,12,255,At Risk
272,Leonard Bailey,599,9,21945,0,1,5,5,11,155,At Risk
285,Kevin Griffith,426,6,16150,1,2,4,4,10,244,At Risk
302,Christopher Robinson,529,7,21151,0,1,4,5,10,145,At Risk
307,Sophia Thompson,655,5,16633,0,1,3,4,8,134,At Risk
318,Michael George,244,7,20124,0,2,4,5,11,245,At Risk
325,Jacob Baker,383,5,14095,1,2,3,3,8,233,At Risk
327,Brittany Joyce,430,5,15245,0,1,3,4,8,134,At Risk
345,Ryan Rice,310,5,17538,0,2,3,4,9,234,At Risk
366,Bruce Pittman,424,6,15811,0,2,4,4,10,244,At Risk
369,Christopher Greer,249,8,28653,0,2,5,5,12,255,At Risk
376,Trevor Wiley,568,8,28434,1,1,5,5,11,155,At Risk
378,Andrew Robertson,388,6,13945,1,2,4,3,9,243,At Risk
381,Catherine Parker,299,7,20855,0,2,4,5,11,245,At Risk
388,Jacob Williams,290,6,21151,0,2,4,5,11,245,At Risk
394,Anthony Butler,315,5,12030,0,2,3,3,8,233,At Risk
398,Charles Gonzalez,304,6,12028,0,2,4,3,9,243,At Risk
400,Edward Collins MD,261,12,33709,0,2,5,5,12,255,At Risk
417,Jordan Phillips,256,6,18992,0,2,4,4,10,244,At Risk
435,Robert Gutierrez,265,5,12347,1,2,3,3,8,233,At Risk
437,Nicole Brown,570,7,22333,0,1,4,5,10,145,At Risk
449,Jason Mitchell,378,5,18248,0,2,3,4,9,234,At Risk
453,Renee Mccoy PhD,932,6,13305,0,1,4,3,8,143,At Risk
461,Kelly Reed,744,8,21087,0,1,5,5,11,155,At Risk
469,Russell Gibson,303,6,16388,0,2,4,4,10,244,At Risk
473,Rebecca Zavala,437,5,13472,0,1,3,3,7,133,At Risk
481,Jonathon Harris,402,5,14253,0,2,3,3,8,233,At Risk
486,Maria Stevens,357,5,17583,0,2,3,4,9,234,At Risk
487,Todd Rodriguez,334,7,19596,0,2,4,5,11,245,At Risk
494,Jennifer Valdez,245,6,20106,0,2,4,5,11,245,At Risk
495,Joshua Galvan,417,6,17425,0,2,4,4,10,244,At Risk
499,Jeremiah Gray,308,5,18375,0,2,3,4,9,234,At Risk
500,Kathy Anderson,249,6,20407,0,2,4,5,11,245,At Risk
502,Karen Vincent,360,6,20871,0,2,4,5,11,245,At Risk
510,Brett Stokes,397,6,18307,0,2,4,4,10,244,At Risk
519,Jacob Roberson,329,5,14492,0,2,3,3,8,233,At Risk
524,Brian Underwood,391,6,22116,1,2,4,5,11,245,At Risk
528,Catherine Molina,380,7,19514,0,2,4,5,11,245,At Risk
533,Terry Little,279,5,11376,0,2,3,3,8,233,At Risk
536,Kathryn Stevenson,757,8,17653,0,1,5,4,10,154,At Risk
540,Kristopher Soto,517,5,14931,0,1,3,4,8,134,At Risk
555,Michael Wilson,251,6,14484,0,2,4,3,9,243,At Risk
556,Roberto Combs,431,6,18814,0,1,4,4,9,144,At Risk
557,Johnny Lyons,873,6,17038,0,1,4,4,9,144,At Risk
559,Colleen Chavez,289,6,20041,0,2,4,5,11,245,At Risk
560,Jeffrey Maldonado,577,5,14385,1,1,3,3,7,133,At Risk
566,Todd Richardson,296,6,14667,0,2,4,3,9,243,At Risk
577,Nancy Sherman,388,5,14374,0,2,3,3,8,233,At Risk
584,Julia Thomas,274,5,15366,0,2,3,4,9,234,At Risk
589,Gregory Marks,591,6,15198,0,1,4,4,9,144,At Risk
592,Jeffrey Arellano,292,9,21753,1,2,5,5,12,255,At Risk
595,Ashley Lee,303,6,17590,0,2,4,4,10,244,At Risk
596,Jordan Marshall,463,6,13237,0,1,4,3,8,143,At Risk
608,Elizabeth Porter,413,8,25576,0,2,5,5,12,255,At Risk
612,Tammy Bond,287,6,13955,0,2,4,3,9,243,At Risk
615,Danielle Johnson,287,5,16233,0,2,3,4,9,234,At Risk
623,Sierra Rodriguez,244,9,27963,0,2,5,5,12,255,At Risk
626,Cynthia Kline,595,5,20327,0,1,3,5,9,135,At Risk
651,Heather Hodges,649,5,15328,1,1,3,4,8,134,At Risk
652,Rachael Lawrence,296,6,15031,0,2,4,4,10,244,At Risk
660,Rachel Brown,275,7,23905,0,2,4,5,11,245,At Risk
684,Stephen Wong,422,5,17075,0,2,3,4,9,234,At Risk
689,Sarah Humphrey,395,8,29573,0,2,5,5,12,255,At Risk
695,Oscar Nelson,447,6,17661,0,1,4,4,9,144,At Risk
697,Jacob Knight,409,5,19100,0,2,3,4,9,234,At Risk
703,Natalie Harris,262,6,18206,0,2,4,4,10,244,At Risk
707,Brooke Barry,267,7,15401,1,2,4,4,10,244,At Risk
721,John Allen,247,5,16957,0,2,3,4,9,234,At Risk
729,Charlotte Reilly,375,6,17141,0,2,4,4,10,244,At Risk
739,Evelyn Klein,332,6,15713,0,2,4,4,10,244,At Risk
745,Mark Gonzales,295,8,18565,0,2,5,4,11,254,At Risk
752,Kristina Jennings,307,5,17176,0,2,3,4,9,234,At Risk
760,Mrs. Hannah Sullivan MD,252,10,23054,0,2,5,5,12,255,At Risk
761,Sara Huff,385,5,11994,0,2,3,3,8,233,At Risk
767,Jack Howard,334,6,13768,0,2,4,3,9,243,At Risk
774,Hector Schultz,273,5,11904,0,2,3,3,8,233,At Risk
805,Paul Murray,564,7,15837,0,1,4,4,9,144,At Risk
807,Stanley Chavez,352,7,19597,0,2,4,5,11,245,At Risk
822,Anthony Adams,302,7,15392,1,2,4,4,10,244,At Risk
823,John Lin,248,7,19311,1,2,4,5,11,245,At Risk
826,Jason Wood,286,9,25270,0,2,5,5,12,255,At Risk
836,Daniel Edwards,363,6,22206,0,2,4,5,11,245,At Risk
849,Elizabeth Young,335,6,17088,0,2,4,4,10,244,At Risk
859,Whitney Dean,484,6,19889,0,1,4,5,10,145,At Risk
866,Amy Fisher,264,8,26278,0,2,5,5,12,255,At Risk
