customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment,Recency_Group,Frequency_Group,Monetary_Group
6,Kayla Smith,462,6,15517,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
10,Jessica Daniels,229,8,20857,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High
14,Darren Myers,539,6,16161,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
16,Melissa Kaufman,147,5,15246,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High
23,Joseph Hernandez,85,6,19200,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
24,Jamie Watson,141,6,23966,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High
26,Eric Roach,431,6,19699,1,1,4,5,10,145,At Risk,365+ Days,6-10 Purchases,Very High
32,James Blake,423,6,17567,1,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High
48,Chris Taylor,456,5,17172,1,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
71,Linda Vazquez,62,7,29547,1,4,4,5,13,445,Champions,61-90 Days,6-10 Purchases,Very High
81,Isaac Ingram,357,8,26059,1,2,5,5,12,255,At Risk,181-365 Days,6-10 Purchases,Very High
94,Duane Anderson,74,6,15746,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High
148,Ashley Mathews,202,6,15591,1,3,4,4,11,344,Loyal Customers,181-365 Days,6-10 Purchases,High
158,Troy Webb,129,5,16971,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
162,Dr. Russell Spence,145,5,15101,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High
164,Trevor Deleon,55,8,29989,1,5,5,5,15,555,Champions,31-60 Days,6-10 Purchases,Very High
182,Jennifer Morrison,106,5,16849,1,4,3,4,11,434,Potential Loyalists,91-180 Days,3-5 Purchases,High
185,Emily Carter,12,5,18565,1,5,3,4,12,534,Potential Loyalists,0-30 Days,3-5 Purchases,High
192,Aaron Barber,502,4,15844,1,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High
206,Leslie West,89,9,33113,1,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High
237,Ryan Anderson,683,6,16232,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
243,James Sullivan,18,7,19425,1,5,4,5,14,545,Champions,0-30 Days,6-10 Purchases,Very High
253,Zachary Freeman,97,7,24519,1,4,4,5,13,445,Champions,91-180 Days,6-10 Purchases,Very High
261,Carl Lee,51,5,15835,1,5,3,4,12,534,Potential Loyalists,31-60 Days,3-5 Purchases,High
