customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment,Recency_Group,Frequency_Group,Monetary_Group,Churn_Risk
1,Nicole Johnson,57,1,3491,0,5,1,1,7,511,New Customers,31-60 Days,1 Purchase,Very Low,Low Risk
2,Marie Wright,298,3,7988,0,2,1,2,5,212,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
3,Julie Wolfe,88,8,22587,0,4,5,5,14,455,Champions,61-90 Days,6-10 Purchases,Very High,Low Risk
4,Tracey Smith,126,4,8715,1,4,2,2,8,422,Potential Loyalists,91-180 Days,3-5 Purchases,Low,Churned
5,Nancy Jones,170,8,12524,0,3,5,3,11,353,Loyal Customers,91-180 Days,6-10 Purchases,Medium,Moderate Risk
6,Kayla Smith,462,6,15517,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High,Churned
7,Kristina Miller,565,3,7835,0,1,1,2,4,112,Hibernating,365+ Days,3-5 Purchases,Low,High Risk
8,Michael Weber,129,6,15265,0,4,4,4,12,444,Champions,91-180 Days,6-10 Purchases,High,Low Risk
9,Laurie Holmes,126,5,14720,0,4,3,3,10,433,Potential Loyalists,91-180 Days,3-5 Purchases,Medium,Low Risk
10,Jessica Daniels,229,8,20857,1,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High,Churned
11,Ashley Lucas,136,10,23691,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
12,Christopher Clark,279,6,15378,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High,Medium Risk
13,Benjamin Christensen,88,4,7244,0,4,2,1,7,421,New Customers,61-90 Days,3-5 Purchases,Very Low,Low Risk
14,Darren Myers,539,6,16161,1,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High,Churned
15,Heather Jimenez,102,5,19748,0,4,3,5,12,435,Potential Loyalists,91-180 Days,3-5 Purchases,Very High,Low Risk
16,Melissa Kaufman,147,5,15246,1,3,3,4,10,334,Need Attention,91-180 Days,3-5 Purchases,High,Churned
17,Amy Morse,13,9,24042,0,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
18,David Sanchez,115,8,23726,0,4,5,5,14,455,Champions,91-180 Days,6-10 Purchases,Very High,Low Risk
19,Brittney Owen,125,5,8809,1,4,3,2,9,432,Potential Loyalists,91-180 Days,3-5 Purchases,Low,Churned
20,John Rivera,215,8,21428,0,3,5,5,13,355,Loyal Customers,181-365 Days,6-10 Purchases,Very High,Moderate Risk
21,Richard Fletcher,79,4,11915,0,4,2,3,9,423,Potential Loyalists,61-90 Days,3-5 Purchases,Medium,Low Risk
22,Marvin Smith,20,9,32052,0,5,5,5,15,555,Champions,0-30 Days,6-10 Purchases,Very High,Low Risk
23,Joseph Hernandez,85,6,19200,1,4,4,4,12,444,Champions,61-90 Days,6-10 Purchases,High,Churned
24,Jamie Watson,141,6,23966,1,3,4,5,12,345,Loyal Customers,91-180 Days,6-10 Purchases,Very High,Churned
25,Jose Boone,304,6,17455,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High,Medium Risk
26,Eric Roach,431,6,19699,1,1,4,5,10,145,At Risk,365+ Days,6-10 Purchases,Very High,Churned
27,Daniel Lopez,123,3,12260,1,4,1,3,8,413,New Customers,91-180 Days,3-5 Purchases,Medium,Churned
28,Eric Mendez,138,6,10217,0,3,4,2,9,342,Others,91-180 Days,6-10 Purchases,Low,Moderate Risk
29,Frank Smith,478,7,16694,0,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High,Medium Risk
30,Jerry Montes,68,11,31412,0,4,5,5,14,455,Champions,61-90 Days,10+ Purchases,Very High,Low Risk
31,Tara Campbell,60,4,9404,0,4,2,2,8,422,Potential Loyalists,31-60 Days,3-5 Purchases,Low,Low Risk
32,James Blake,423,6,17567,1,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High,Churned
33,Laura Norris,232,8,13281,0,3,5,3,11,353,Loyal Customers,181-365 Days,6-10 Purchases,Medium,Moderate Risk
34,Steven Tate,971,2,3345,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
35,Jacqueline French,136,8,12260,1,4,5,3,12,453,Loyal Customers,91-180 Days,6-10 Purchases,Medium,Churned
36,Richard Cruz,211,4,11581,0,3,2,3,8,323,Need Attention,181-365 Days,3-5 Purchases,Medium,Moderate Risk
37,Steven Mercado IV,315,4,9371,0,2,2,2,6,222,Hibernating,181-365 Days,3-5 Purchases,Low,High Risk
38,Chad Hendrix,177,3,6691,0,3,1,1,5,311,Others,91-180 Days,3-5 Purchases,Very Low,Moderate Risk
39,Joshua Johnson,144,4,13229,0,3,2,3,8,323,Need Attention,91-180 Days,3-5 Purchases,Medium,Moderate Risk
40,Brooke Jones,478,2,5188,0,1,1,1,3,111,Hibernating,365+ Days,2 Purchases,Very Low,High Risk
