customer_id,customer_name,total_spend,purchase_frequency,total_quantity,average_order_value,average_product_price,first_purchase_date,last_purchase_date,total_returns,churn,recency,customer_tenure_days,customer_tenure_months,return_rate,return_rate_pct,customer_age,gender,preferred_category,preferred_payment_method
1,Nicole Johnson,3491,1,5,3491.0,169.0,2023-07-19 19:09:20,2023-07-19 19:09:20,1.0,0,57,0,0.0,1.0,100.0,70,Male,Books,PayPal
2,Marie Wright,7988,3,8,2662.6666666666665,140.0,2021-03-05 14:30:42,2022-11-21 06:48:05,1.0,0,298,625,20.8,0.3333333333333333,33.33,27,Female,Books,PayPal
3,Julie Wolfe,22587,8,23,2823.375,225.375,2020-09-27 22:26:24,2023-06-18 12:31:42,3.0,0,88,993,33.1,0.375,37.5,23,Female,Clothing,Credit Card
4,Tracey Smith,8715,4,9,2178.75,134.25,2020-10-09 03:25:04,2023-05-12 10:50:24,1.0,1,126,945,31.5,0.25,25.0,66,Male,Clothing,Credit Card
5,Nancy Jones,12524,8,33,1565.5,229.0,2020-01-28 14:28:33,2023-03-28 13:30:55,4.0,0,170,1154,38.5,0.5,50.0,26,Female,Clothing,Credit Card
6,Kayla Smith,15517,6,11,2586.1666666666665,191.33333333333334,2020-01-19 18:25:00,2022-06-09 15:12:26,0.0,1,462,871,29.0,0.0,0.0,24,Female,Clothing,Crypto
7,Kristina Miller,7835,3,15,2611.6666666666665,210.33333333333334,2020-05-16 06:52:55,2022-02-27 07:52:37,1.0,0,565,652,21.7,0.3333333333333333,33.33,34,Female,Books,PayPal
8,Michael Weber,15265,6,17,2544.1666666666665,214.5,2020-05-29 23:08:30,2023-05-09 04:08:57,1.0,0,129,1074,35.8,0.16666666666666666,16.67,50,Female,Books,Credit Card
9,Laurie Holmes,14720,5,13,2944.0,300.6,2020-09-03 21:21:09,2023-05-12 12:13:50,3.0,0,126,980,32.7,0.6,60.0,41,Female,Books,Credit Card
10,Jessica Daniels,20857,8,20,2607.125,201.75,2020-11-23 09:47:20,2023-01-29 01:45:29,4.0,1,229,796,26.5,0.5,50.0,58,Female,Clothing,Credit Card
11,Ashley Lucas,23691,10,35,2369.1,211.9,2020-03-01 16:55:47,2023-05-01 18:11:58,5.0,0,136,1156,38.5,0.5,50.0,34,Female,Books,PayPal
12,Christopher Clark,15378,6,11,2563.0,252.0,2020-07-31 08:36:17,2022-12-10 11:30:48,1.0,0,279,862,28.7,0.16666666666666666,16.67,33,Male,Clothing,Credit Card
13,Benjamin Christensen,7244,4,12,1811.0,338.5,2021-01-27 17:26:47,2023-06-18 16:01:49,4.0,0,88,871,29.0,1.0,100.0,54,Female,Clothing,PayPal
14,Darren Myers,16161,6,17,2693.5,293.0,2020-04-06 08:26:36,2022-03-24 16:31:59,2.0,1,539,717,23.9,0.3333333333333333,33.33,63,Female,Clothing,PayPal
15,Heather Jimenez,19748,5,16,3949.6,243.0,2020-08-28 08:58:55,2023-06-05 01:51:22,3.0,0,102,1010,33.7,0.6,60.0,64,Male,Books,Credit Card
16,Melissa Kaufman,15246,5,16,3049.2,182.8,2020-05-27 12:21:33,2023-04-21 02:25:14,1.0,1,147,1058,35.3,0.2,20.0,50,Male,Books,PayPal
17,Amy Morse,24042,9,22,2671.3333333333335,190.66666666666666,2020-05-14 03:21:34,2023-09-01 22:20:48,3.0,0,13,1205,40.2,0.3333333333333333,33.33,22,Male,Books,Credit Card
18,David Sanchez,23726,8,21,2965.75,238.375,2020-02-02 07:34:25,2023-05-22 23:18:35,4.0,0,115,1205,40.2,0.5,50.0,58,Male,Clothing,Cash
19,Brittney Owen,8809,5,16,1761.8,199.4,2021-05-16 19:59:18,2023-05-13 03:09:43,3.0,1,125,726,24.2,0.6,60.0,63,Male,Books,PayPal
20,John Rivera,21428,8,25,2678.5,299.625,2020-01-09 10:08:13,2023-02-11 13:35:58,4.0,0,215,1129,37.6,0.5,50.0,62,Male,Clothing,Credit Card
21,Richard Fletcher,11915,4,8,2978.75,324.5,2022-05-18 05:55:53,2023-06-28 09:00:31,0.0,0,79,406,13.5,0.0,0.0,69,Male,Electronics,Credit Card
22,Marvin Smith,32052,9,30,3561.3333333333335,305.1111111111111,2020-03-04 14:22:53,2023-08-25 12:59:19,4.0,0,20,1268,42.3,0.4444444444444444,44.44,61,Male,Clothing,Crypto
23,Joseph Hernandez,19200,6,17,3200.0,299.0,2020-03-15 16:41:10,2023-06-21 21:03:53,2.0,1,85,1193,39.8,0.3333333333333333,33.33,62,Female,Books,PayPal
24,Jamie Watson,23966,6,19,3994.3333333333335,345.8333333333333,2021-01-11 03:31:38,2023-04-27 01:26:46,3.0,1,141,835,27.8,0.5,50.0,49,Female,Clothing,Credit Card
25,Jose Boone,17455,6,18,2909.1666666666665,185.83333333333334,2020-03-01 04:41:00,2022-11-15 10:10:59,2.0,0,304,989,33.0,0.3333333333333333,33.33,33,Male,Books,Cash
26,Eric Roach,19699,6,20,3283.1666666666665,247.5,2020-01-26 22:58:53,2022-07-10 14:59:32,4.0,1,431,895,29.8,0.6666666666666666,66.67,36,Male,Books,Cash
27,Daniel Lopez,12260,3,9,4086.6666666666665,406.0,2021-05-08 12:36:12,2023-05-14 20:26:50,0.0,1,123,736,24.5,0.0,0.0,61,Male,Books,Cash
28,Eric Mendez,10217,6,17,1702.8333333333333,186.66666666666666,2021-06-06 08:52:17,2023-04-30 11:17:37,1.0,0,138,693,23.1,0.16666666666666666,16.67,70,Male,Books,PayPal
29,Frank Smith,16694,7,22,2384.8571428571427,257.7142857142857,2020-06-20 08:06:52,2022-05-24 18:34:01,2.0,0,478,703,23.4,0.2857142857142857,28.57,36,Male,Books,Crypto
30,Jerry Montes,31412,11,45,2855.6363636363635,282.3636363636364,2020-08-31 19:49:22,2023-07-08 22:19:44,3.0,0,68,1041,34.7,0.2727272727272727,27.27,27,Male,Clothing,Credit Card
31,Tara Campbell,9404,4,12,2351.0,167.25,2020-01-01 17:04:49,2023-07-16 21:14:31,1.0,0,60,1292,43.1,0.25,25.0,23,Female,Electronics,Credit Card
32,James Blake,17567,6,13,2927.8333333333335,293.8333333333333,2020-01-16 00:37:38,2022-07-18 16:46:03,2.0,1,423,914,30.5,0.3333333333333333,33.33,19,Female,Books,Credit Card
33,Laura Norris,13281,8,22,1660.125,243.25,2020-01-18 00:04:36,2023-01-25 16:34:38,4.0,0,232,1103,36.8,0.5,50.0,37,Female,Clothing,Credit Card
34,Steven Tate,3345,2,8,1672.5,461.0,2020-09-28 11:34:38,2021-01-17 00:00:22,1.0,0,971,110,3.7,0.5,50.0,41,Male,Clothing,PayPal
35,Jacqueline French,12260,8,28,1532.5,270.5,2020-02-09 14:36:27,2023-05-02 05:28:43,3.0,1,136,1177,39.2,0.375,37.5,27,Male,Clothing,Cash
36,Richard Cruz,11581,4,13,2895.25,315.0,2021-05-28 07:08:45,2023-02-15 20:44:07,3.0,0,211,628,20.9,0.75,75.0,36,Female,Books,PayPal
37,Steven Mercado IV,9371,4,11,2342.75,181.75,2021-04-30 19:55:34,2022-11-04 02:53:11,0.0,0,315,552,18.4,0.0,0.0,44,Female,Books,Cash
38,Chad Hendrix,6691,3,7,2230.3333333333335,324.0,2021-07-18 06:12:48,2023-03-22 03:55:14,2.0,0,177,611,20.4,0.6666666666666666,66.67,70,Male,Home,PayPal
39,Joshua Johnson,13229,4,13,3307.25,107.25,2020-06-09 22:50:29,2023-04-23 22:09:30,3.0,0,144,1047,34.9,0.75,75.0,43,Male,Home,Crypto
40,Brooke Jones,5188,2,6,2594.0,47.0,2020-08-07 20:39:01,2022-05-25 06:06:09,0.0,0,478,655,21.8,0.0,0.0,56,Female,Books,PayPal
41,Andrew Garcia,13607,6,17,2267.8333333333335,234.33333333333334,2020-05-28 08:54:18,2023-01-30 06:29:47,1.0,1,228,976,32.5,0.16666666666666666,16.67,54,Male,Electronics,Cash
42,Ross Cowan,6548,3,9,2182.6666666666665,100.0,2022-08-11 02:52:16,2023-08-21 11:13:07,2.0,0,25,375,12.5,0.6666666666666666,66.67,21,Male,Clothing,Credit Card
43,Clifford Davis,9593,5,11,1918.6,268.2,2022-02-13 07:31:41,2023-07-16 19:12:53,2.0,0,60,518,17.3,0.4,40.0,29,Female,Books,Credit Card
44,Matthew Farmer,16375,5,22,3275.0,204.6,2020-04-18 09:06:50,2023-02-01 17:47:12,3.0,0,225,1019,34.0,0.6,60.0,51,Male,Books,Credit Card
45,Jason Foster,6977,2,6,3488.5,187.0,2020-08-13 17:16:54,2023-06-15 22:47:18,0.0,1,91,1036,34.5,0.0,0.0,46,Male,Books,PayPal
46,Gina Simpson,19650,7,23,2807.1428571428573,347.0,2020-03-05 10:13:46,2023-06-08 10:48:56,1.0,0,99,1190,39.7,0.14285714285714285,14.29,61,Male,Home,Credit Card
47,Melanie Duncan,10807,3,8,3602.3333333333335,154.0,2020-04-29 08:03:02,2022-10-14 23:16:58,1.0,0,335,898,29.9,0.3333333333333333,33.33,43,Female,Books,Credit Card
48,Chris Taylor,17172,5,15,3434.4,301.4,2020-07-01 23:34:29,2022-06-16 04:01:57,2.0,1,456,714,23.8,0.4,40.0,43,Female,Books,Cash
49,Stacy Smith,8325,4,11,2081.25,350.75,2020-03-04 12:35:21,2021-12-23 10:07:48,2.0,0,631,658,21.9,0.5,50.0,19,Male,Home,Credit Card
50,Gail Lopez,15669,5,13,3133.8,257.2,2020-02-15 04:38:16,2023-08-25 19:52:58,2.0,0,20,1287,42.9,0.4,40.0,25,Female,Books,Credit Card
51,Nicole Garrison,10480,4,10,2620.0,194.0,2020-05-14 16:46:56,2022-10-10 11:52:59,3.0,1,340,878,29.3,0.75,75.0,27,Female,Electronics,Crypto
52,Sandra Schroeder,5280,2,7,2640.0,191.5,2020-09-03 10:55:22,2022-06-24 09:13:01,0.0,0,448,658,21.9,0.0,0.0,24,Female,Clothing,Cash
53,David Kim,4833,2,8,2416.5,268.0,2022-05-27 20:07:12,2022-11-19 16:42:39,0.0,0,299,175,5.8,0.0,0.0,37,Male,Clothing,Cash
54,Beth Garcia,17813,5,15,3562.6,213.0,2021-02-24 16:14:19,2023-01-06 05:02:40,2.0,0,252,680,22.7,0.4,40.0,40,Female,Clothing,Credit Card
55,Jose Cooke,12581,5,11,2516.2,125.4,2020-02-08 14:16:36,2023-05-12 00:26:14,1.0,0,126,1188,39.6,0.2,20.0,47,Female,Home,PayPal
56,Carolyn Keith,20131,8,23,2516.375,353.25,2020-03-23 15:29:23,2023-05-03 10:39:24,3.0,0,135,1135,37.8,0.375,37.5,42,Male,Electronics,Cash
57,Spencer Duke,6606,3,8,2202.0,196.66666666666666,2020-04-25 20:07:03,2022-04-26 04:03:21,1.0,0,507,730,24.3,0.3333333333333333,33.33,23,Female,Books,Credit Card
58,Paula Nguyen,10212,5,15,2042.4,259.4,2020-04-25 14:21:41,2021-11-08 06:33:53,5.0,0,676,561,18.7,1.0,100.0,24,Female,Electronics,Credit Card
59,David Aguilar,16868,6,16,2811.3333333333335,208.16666666666666,2020-07-28 16:04:41,2023-08-19 07:49:55,1.0,0,27,1116,37.2,0.16666666666666666,16.67,34,Male,Clothing,PayPal
60,Mr. Mark Walker,17465,5,10,3493.0,182.0,2020-11-23 01:32:37,2023-06-01 17:20:28,3.0,0,105,920,30.7,0.6,60.0,37,Male,Books,Cash
61,William Strong,15414,6,19,2569.0,233.66666666666666,2020-05-08 21:29:36,2022-09-10 17:09:25,3.0,0,369,854,28.5,0.5,50.0,60,Male,Books,Credit Card
62,Melissa Mcknight,12484,5,22,2496.8,380.8,2020-04-26 16:39:37,2023-01-10 17:02:50,2.0,1,247,989,33.0,0.4,40.0,38,Female,Books,Credit Card
63,Dominic Clark,1630,2,5,815.0,312.0,2020-09-06 00:36:39,2021-10-14 05:22:05,1.0,0,701,403,13.4,0.5,50.0,29,Female,Books,Credit Card
64,Matthew Pham,4970,2,8,2485.0,111.0,2023-01-09 19:56:25,2023-04-07 20:51:33,0.0,0,160,88,2.9,0.0,0.0,41,Male,Electronics,Cash
65,Anthony Mcmillan,14844,6,18,2474.0,230.16666666666666,2020-05-23 19:14:49,2023-04-02 03:59:51,3.0,0,166,1043,34.8,0.5,50.0,51,Female,Books,Credit Card
66,James Johnson,11419,5,12,2283.8,166.6,2020-10-18 07:23:06,2023-06-18 21:53:45,2.0,0,88,973,32.4,0.4,40.0,20,Female,Clothing,Cash
67,Andrea Scott,26885,10,33,2688.5,253.6,2020-10-17 02:28:33,2023-09-14 20:31:38,3.0,0,0,1062,35.4,0.3,30.0,34,Female,Books,Cash
68,Evan Fuller,24392,8,23,3049.0,333.625,2020-07-29 16:14:15,2022-07-18 20:15:27,4.0,0,423,719,24.0,0.5,50.0,43,Female,Books,Cash
69,Christopher Bush,14878,6,21,2479.6666666666665,208.66666666666666,2020-12-12 04:41:41,2022-11-07 06:00:57,1.0,0,312,695,23.2,0.16666666666666666,16.67,28,Female,Clothing,Cash
70,Miss Sara Black,16339,7,21,2334.1428571428573,168.71428571428572,2020-02-03 01:59:00,2023-07-03 00:30:31,3.0,0,74,1245,41.5,0.42857142857142855,42.86,45,Female,Books,Credit Card
71,Linda Vazquez,29547,7,18,4221.0,285.14285714285717,2020-07-14 12:46:23,2023-07-15 06:41:08,0.0,1,62,1095,36.5,0.0,0.0,54,Female,Books,Credit Card
72,Bradley Collins,4248,3,12,1416.0,255.33333333333334,2020-07-10 03:48:01,2023-06-01 10:09:10,1.0,0,106,1056,35.2,0.3333333333333333,33.33,52,Male,Books,Cash
73,David Freeman,19807,6,22,3301.1666666666665,265.1666666666667,2020-08-22 14:42:07,2023-07-07 11:09:31,2.0,0,70,1048,34.9,0.3333333333333333,33.33,40,Female,Electronics,Credit Card
74,Aaron Fox,6452,3,11,2150.6666666666665,123.66666666666667,2020-09-16 08:32:53,2022-04-18 10:49:48,1.0,1,515,579,19.3,0.3333333333333333,33.33,66,Male,Books,Credit Card
75,Devin Wilson,9502,5,16,1900.4,232.2,2020-06-15 09:17:52,2023-05-12 07:46:31,2.0,0,126,1060,35.3,0.4,40.0,46,Male,Electronics,Cash
76,John Carrillo Jr.,5934,4,12,1483.5,195.5,2020-08-15 23:09:25,2023-06-03 13:29:53,1.0,0,103,1021,34.0,0.25,25.0,49,Female,Home,Cash
77,David Kennedy,11725,5,14,2345.0,237.4,2020-02-19 05:49:15,2023-02-18 22:30:33,1.0,1,208,1095,36.5,0.2,20.0,65,Female,Clothing,Credit Card
78,Nicholas Mitchell,13720,5,18,2744.0,252.6,2020-02-23 02:48:32,2023-04-11 11:31:56,3.0,0,157,1143,38.1,0.6,60.0,23,Female,Books,Credit Card
79,Kimberly Kelley,9338,6,20,1556.3333333333333,233.0,2020-03-09 11:32:13,2023-08-13 17:42:12,3.0,0,32,1252,41.7,0.5,50.0,41,Male,Books,Cash
80,Angela Walker,3614,3,12,1204.6666666666667,291.3333333333333,2020-03-06 14:23:49,2021-04-10 01:53:24,1.0,1,888,399,13.3,0.3333333333333333,33.33,44,Female,Clothing,Credit Card
81,Isaac Ingram,26059,8,26,3257.375,223.375,2021-05-03 12:03:55,2022-09-22 21:01:18,1.0,1,357,507,16.9,0.125,12.5,18,Male,Books,Credit Card
82,Cassandra Yu,25574,7,19,3653.4285714285716,281.2857142857143,2021-03-03 12:11:20,2023-08-03 14:54:29,4.0,0,42,883,29.4,0.5714285714285714,57.14,56,Female,Books,Cash
83,Kendra White,7945,4,8,1986.25,236.25,2020-01-15 23:43:13,2023-01-18 02:40:45,0.0,0,240,1098,36.6,0.0,0.0,29,Female,Clothing,Credit Card
84,Sara Palmer,3246,2,7,1623.0,198.5,2020-09-25 18:08:16,2020-10-09 12:12:16,0.0,1,1071,13,0.4,0.0,0.0,69,Female,Electronics,Credit Card
85,Mark Bradford,13092,6,23,2182.0,331.1666666666667,2020-01-30 16:26:42,2022-12-27 05:25:57,2.0,0,262,1061,35.4,0.3333333333333333,33.33,31,Female,Books,Credit Card
86,Pamela Oconnell,16526,6,21,2754.3333333333335,323.1666666666667,2020-01-26 17:21:26,2023-07-03 16:20:09,1.0,0,73,1253,41.8,0.16666666666666666,16.67,40,Male,Electronics,Credit Card
87,Lisa Greene,7101,2,10,3550.5,238.5,2020-12-25 04:45:01,2022-11-17 22:42:00,1.0,1,301,692,23.1,0.5,50.0,53,Female,Books,Cash
88,Sandra Anderson,5756,2,7,2878.0,251.0,2021-05-10 04:22:00,2022-10-02 13:34:10,1.0,0,347,510,17.0,0.5,50.0,49,Female,Books,Credit Card
89,Alice Boyer,10085,6,21,1680.8333333333333,256.8333333333333,2020-02-01 23:46:32,2022-09-23 23:16:41,4.0,0,356,964,32.1,0.6666666666666666,66.67,38,Male,Clothing,Credit Card
90,Edward Bailey,14717,5,11,2943.4,295.6,2021-08-19 01:08:08,2023-09-03 11:28:27,2.0,0,12,745,24.8,0.4,40.0,65,Female,Clothing,Credit Card
91,Thomas Sandoval,18782,7,22,2683.1428571428573,238.42857142857142,2020-04-08 16:34:54,2023-09-14 09:47:37,4.0,0,1,1253,41.8,0.5714285714285714,57.14,21,Female,Clothing,Credit Card
92,Tami Brown,14002,5,16,2800.4,288.0,2020-05-16 15:06:55,2023-07-01 20:20:14,3.0,0,75,1141,38.0,0.6,60.0,43,Female,Clothing,PayPal
93,Peter Dean,6174,4,14,1543.5,194.75,2020-05-31 20:10:59,2022-11-03 16:15:46,2.0,0,315,885,29.5,0.5,50.0,49,Male,Home,Cash
94,Duane Anderson,15746,6,14,2624.3333333333335,276.0,2020-06-11 09:49:12,2023-07-02 22:24:26,2.0,1,74,1116,37.2,0.3333333333333333,33.33,60,Male,Books,Credit Card
95,Ricky Dudley,15109,7,15,2158.4285714285716,241.85714285714286,2020-07-26 00:26:11,2023-09-07 12:20:16,2.0,0,8,1138,37.9,0.2857142857142857,28.57,60,Female,Books,Credit Card
96,Jerry Vasquez,21417,6,17,3569.5,176.83333333333334,2020-03-19 20:32:38,2023-06-17 08:05:38,3.0,0,90,1184,39.5,0.5,50.0,63,Female,Clothing,Credit Card
97,Kelsey Williams,12436,5,15,2487.2,110.2,2020-06-10 16:57:18,2023-03-25 02:05:20,0.0,0,174,1017,33.9,0.0,0.0,54,Female,Electronics,Credit Card
98,Patricia Jordan,13920,6,24,2320.0,262.5,2020-09-26 17:03:36,2023-04-02 11:00:09,3.0,0,166,917,30.6,0.5,50.0,20,Male,Electronics,PayPal
99,Melody Rush,27864,9,23,3096.0,235.88888888888889,2020-11-05 06:38:19,2023-06-24 22:44:46,1.0,0,82,961,32.0,0.1111111111111111,11.11,35,Female,Books,PayPal
