customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment,Recency_Group,Frequency_Group,Monetary_Group
12,Christopher Clark,279,6,15378,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
25,Jose Boone,304,6,17455,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
29,Frank Smith,478,7,16694,0,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
54,Beth Garcia,252,5,17813,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
61,William Strong,369,6,15414,0,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High
68,Evan Fuller,423,8,24392,0,2,5,5,12,255,At Risk,365+ Days,6-10 Purchases,Very High
69,Christopher Bush,312,6,14878,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
103,Jerry Snyder,486,6,15288,0,1,4,4,9,144,At Risk,365+ Days,6-10 Purchases,High
110,Cynthia Sanchez,256,6,20022,0,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
111,Joseph Lynch,323,5,16366,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
116,Alicia Davis,767,5,15076,0,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
117,Melissa Mitchell,620,4,15312,0,1,2,4,7,124,Need Attention,365+ Days,3-5 Purchases,High
132,Michael Avila,265,6,16192,0,2,4,4,10,244,At Risk,181-365 Days,6-10 Purchases,High
136,Randy Nguyen,545,8,23349,0,1,5,5,11,155,At Risk,365+ Days,6-10 Purchases,Very High
149,Taylor Massey,388,6,17933,0,2,4,4,10,244,At Risk,365+ Days,6-10 Purchases,High
180,Victoria Brown,338,5,17410,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
186,Christopher Jackson,249,7,21730,0,2,4,5,11,245,At Risk,181-365 Days,6-10 Purchases,Very High
197,Samuel Hoffman,307,5,16963,0,2,3,4,9,234,At Risk,181-365 Days,3-5 Purchases,High
235,Lindsey Walker,858,5,16282,0,1,3,4,8,134,At Risk,365+ Days,3-5 Purchases,High
