customer_id,customer_name,recency,frequency,monetary,churn,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Code,Customer_Segment
3,Julie Wolfe,88,8,22587,0,4,5,5,14,455,Champions
8,Michael Weber,129,6,15265,0,4,4,4,12,444,Champions
10,Jessica Daniels,229,8,20857,1,3,5,5,13,355,Loyal Customers
11,Ashley Lucas,136,10,23691,0,4,5,5,14,455,Champions
15,Heather Jimenez,102,5,19748,0,4,3,5,12,435,Potential Loyalists
17,Amy Morse,13,9,24042,0,5,5,5,15,555,Champions
18,David Sanchez,115,8,23726,0,4,5,5,14,455,Champions
20,John Rivera,215,8,21428,0,3,5,5,13,355,Loyal Customers
22,Marvin Smith,20,9,32052,0,5,5,5,15,555,Champions
23,Joseph Hernandez,85,6,19200,1,4,4,4,12,444,Champions
24,Jamie Watson,141,6,23966,1,3,4,5,12,345,Loyal Customers
30,Jerry Montes,68,11,31412,0,4,5,5,14,455,Champions
35,Jacqueline French,136,8,12260,1,4,5,3,12,453,Loyal Customers
46,Gina Simpson,99,7,19650,0,4,4,5,13,445,Champions
50,Gail Lopez,20,5,15669,0,5,3,4,12,534,Potential Loyalists
56,Carolyn Keith,135,8,20131,0,4,5,5,14,455,Champions
59,David Aguilar,27,6,16868,0,5,4,4,13,544,Champions
67,Andrea Scott,0,10,26885,0,5,5,5,15,555,Champions
68,Evan Fuller,423,8,24392,0,2,5,5,12,255,At Risk
70,Miss Sara Black,74,7,16339,0,4,4,4,12,444,Champions
71,Linda Vazquez,62,7,29547,1,4,4,5,13,445,Champions
73,David Freeman,70,6,19807,0,4,4,5,13,445,Champions
81,Isaac Ingram,357,8,26059,1,2,5,5,12,255,At Risk
82,Cassandra Yu,42,7,25574,0,5,4,5,14,545,Champions
86,Pamela Oconnell,73,6,16526,0,4,4,4,12,444,Champions
91,Thomas Sandoval,1,7,18782,0,5,4,4,13,544,Champions
94,Duane Anderson,74,6,15746,1,4,4,4,12,444,Champions
95,Ricky Dudley,8,7,15109,0,5,4,4,13,544,Champions
96,Jerry Vasquez,90,6,21417,0,4,4,5,13,445,Champions
99,Melody Rush,82,9,27864,0,4,5,5,14,455,Champions
106,Vickie Griffin,7,6,25190,0,5,4,5,14,545,Champions
108,Andrea Smith,9,6,19997,0,5,4,5,14,545,Champions
113,James Williams,89,7,19076,0,4,4,4,12,444,Champions
118,Brian Nelson,91,7,18827,0,4,4,4,12,444,Champions
119,Deanna Jackson,19,7,21299,0,5,4,5,14,545,Champions
123,Gene Willis,46,10,22880,0,5,5,5,15,555,Champions
128,Michael Morales,136,8,20798,0,4,5,5,14,455,Champions
130,Jessica Curtis,44,5,17654,0,5,3,4,12,534,Potential Loyalists
131,Stephanie Burch,149,8,28943,0,3,5,5,13,355,Loyal Customers
143,Rachael Kelly MD,125,10,28052,0,4,5,5,14,455,Champions
145,Wendy Dawson,36,9,29550,0,5,5,5,15,555,Champions
154,John Lewis,100,9,25380,0,4,5,5,14,455,Champions
156,Michael Lopez,37,9,22874,0,5,5,5,15,555,Champions
164,Trevor Deleon,55,8,29989,1,5,5,5,15,555,Champions
167,Chad Johnson,24,7,22147,0,5,4,5,14,545,Champions
172,Greg Stanley,15,7,13223,1,5,4,3,12,543,Loyal Customers
174,Linda Johnson,77,7,18810,0,4,4,4,12,444,Champions
175,Peter Jones,23,10,25850,0,5,5,5,15,555,Champions
179,Raymond Cooper,158,6,21133,0,3,4,5,12,345,Loyal Customers
183,Steven Bond,185,9,18355,0,3,5,4,12,354,Loyal Customers
184,Kimberly Tanner,118,7,19182,0,4,4,4,12,444,Champions
185,Emily Carter,12,5,18565,1,5,3,4,12,534,Potential Loyalists
190,Susan Mcdaniel,181,7,21718,0,3,4,5,12,345,Loyal Customers
206,Leslie West,89,9,33113,1,4,5,5,14,455,Champions
214,Debra Cobb,82,6,20552,0,4,4,5,13,445,Champions
216,Melissa Ortega,9,8,26378,0,5,5,5,15,555,Champions
217,Donna Meyer,133,7,21199,0,4,4,5,13,445,Champions
225,Jennifer Roberts,169,9,27373,0,3,5,5,13,355,Loyal Customers
236,Christopher Williams,91,7,18070,0,4,4,4,12,444,Champions
239,Kyle Gallagher DDS,1,9,16179,0,5,5,4,14,554,Champions
240,Mr. Johnny Ramos,88,7,27504,0,4,4,5,13,445,Champions
243,James Sullivan,18,7,19425,1,5,4,5,14,545,Champions
249,Elizabeth Craig,201,10,38148,0,3,5,5,13,355,Loyal Customers
250,Laura Peters,108,6,16159,0,4,4,4,12,444,Champions
253,Zachary Freeman,97,7,24519,1,4,4,5,13,445,Champions
255,Jordan Juarez,53,10,20773,0,5,5,5,15,555,Champions
257,Frank Morgan,248,8,22547,0,2,5,5,12,255,At Risk
261,Carl Lee,51,5,15835,1,5,3,4,12,534,Potential Loyalists
265,Carmen Parker,47,9,21815,0,5,5,5,15,555,Champions
273,Lisa Powers,152,9,24460,0,3,5,5,13,355,Loyal Customers
274,Michelle Chen,17,5,16900,0,5,3,4,12,534,Potential Loyalists
275,Eric Bond,94,10,26491,1,4,5,5,14,455,Champions
276,Daniel Jordan,88,7,17400,0,4,4,4,12,444,Champions
282,Michael Fitzgerald,5,8,22195,0,5,5,5,15,555,Champions
290,Brittany Scott,90,9,24353,0,4,5,5,14,455,Champions
295,Alexander Strickland,197,9,27737,1,3,5,5,13,355,Loyal Customers
296,Shawn Osborne,132,7,20804,1,4,4,5,13,445,Champions
300,Dr. Lindsay Wu DDS,133,6,19977,0,4,4,5,13,445,Champions
308,Lynn Wilson,20,7,14780,0,5,4,3,12,543,Loyal Customers
314,Lindsey Craig,78,8,18933,1,4,5,4,13,454,Champions
315,Laura Knight,13,6,19217,0,5,4,4,13,544,Champions
316,Mitchell Lopez,140,7,25377,0,3,4,5,12,345,Loyal Customers
317,Madeline Howard,103,8,16513,0,4,5,4,13,454,Champions
319,Sarah Keith,37,10,23082,1,5,5,5,15,555,Champions
324,Crystal Russo,19,7,16742,0,5,4,4,13,544,Champions
340,Carol Velazquez,40,7,24638,0,5,4,5,14,545,Champions
341,Jean Brown,29,8,17859,0,5,5,4,14,554,Champions
346,Holly Padilla,63,7,16157,0,4,4,4,12,444,Champions
347,Dr. Susan Sawyer,73,8,21875,0,4,5,5,14,455,Champions
350,Leah Garcia,135,8,22382,0,4,5,5,14,455,Champions
351,William Wood,58,5,19807,0,5,3,5,13,535,Potential Loyalists
352,Patrick Williams,180,8,19887,1,3,5,5,13,355,Loyal Customers
356,Kenneth Shelton,88,8,22983,0,4,5,5,14,455,Champions
363,Tabitha Shea,167,8,27299,0,3,5,5,13,355,Loyal Customers
368,Justin Eaton,14,8,28667,0,5,5,5,15,555,Champions
369,Christopher Greer,249,8,28653,0,2,5,5,12,255,At Risk
370,John Smith DDS,162,9,25741,1,3,5,5,13,355,Loyal Customers
372,Willie Williams,210,7,21589,0,3,4,5,12,345,Loyal Customers
374,Sandra Paul,96,7,18545,0,4,4,4,12,444,Champions
379,Victoria Hill,11,13,26926,0,5,5,5,15,555,Champions
385,Justin Ramirez,95,13,19146,0,4,5,4,13,454,Champions
387,Elizabeth Thompson,34,11,36989,1,5,5,5,15,555,Champions
389,Andrew Ryan,23,7,15497,1,5,4,4,13,544,Champions
395,Stacy Price,3,10,25602,0,5,5,5,15,555,Champions
396,Kimberly Stewart,49,6,17647,1,5,4,4,13,544,Champions
399,Lori Gonzales,71,7,17086,0,4,4,4,12,444,Champions
400,Edward Collins MD,261,12,33709,0,2,5,5,12,255,At Risk
402,David Gibson,0,6,14420,0,5,4,3,12,543,Loyal Customers
405,Robert Owen,44,6,19924,0,5,4,5,14,545,Champions
407,Michael Leonard,220,7,20644,0,3,4,5,12,345,Loyal Customers
413,Linda Williams,52,6,19045,0,5,4,4,13,544,Champions
415,Dennis Bender,48,7,19376,0,5,4,5,14,545,Champions
416,Angela Bryant,88,7,14965,0,4,4,4,12,444,Champions
419,Stephen Moore,59,8,23627,0,5,5,5,15,555,Champions
427,James Vargas,14,9,22480,0,5,5,5,15,555,Champions
431,Brittany Jones,91,8,25467,0,4,5,5,14,455,Champions
432,Allen Wood,1,7,22702,0,5,4,5,14,545,Champions
439,Rebecca Bowen,13,8,18362,0,5,5,4,14,554,Champions
440,James Vaughn,95,10,28560,0,4,5,5,14,455,Champions
443,Cody Barajas,7,8,26062,1,5,5,5,15,555,Champions
444,Brad Knight,63,7,25034,0,4,4,5,13,445,Champions
446,Thomas Lewis,98,9,22465,1,4,5,5,14,455,Champions
450,Christopher Burgess,113,7,18267,0,4,4,4,12,444,Champions
465,Keith Smith,147,7,20580,0,3,4,5,12,345,Loyal Customers
468,Erin Lucas,52,8,24500,0,5,5,5,15,555,Champions
471,Andrea Brown,35,6,12763,0,5,4,3,12,543,Loyal Customers
475,Erin Simmons DDS,48,9,14942,0,5,5,4,14,554,Champions
488,Jasmin Greer,160,7,21330,1,3,4,5,12,345,Loyal Customers
505,Kevin Baldwin,74,13,31931,0,4,5,5,14,455,Champions
506,Mark Smith,53,9,16383,1,5,5,4,14,554,Champions
513,Juan Shaw,44,11,21332,0,5,5,5,15,555,Champions
520,Brittany Lewis,103,6,15681,0,4,4,4,12,444,Champions
525,Christopher Smith,41,8,25058,0,5,5,5,15,555,Champions
529,Jeremy Castillo,110,6,18297,1,4,4,4,12,444,Champions
537,Ricardo Kline,35,9,33315,0,5,5,5,15,555,Champions
541,Carlos Poole,95,7,16195,1,4,4,4,12,444,Champions
545,Beth Smith,100,6,16230,1,4,4,4,12,444,Champions
548,Michael Mitchell,18,10,30644,0,5,5,5,15,555,Champions
549,Kayla Medina,157,7,21906,0,3,4,5,12,345,Loyal Customers
552,Brian Moreno,23,7,16845,0,5,4,4,13,544,Champions
562,Yolanda Petty,94,7,24604,0,4,4,5,13,445,Champions
563,Ronnie Taylor,48,6,14702,0,5,4,3,12,543,Loyal Customers
565,Jonathan Mendoza,134,7,18806,0,4,4,4,12,444,Champions
567,Kelly Burton,147,7,19590,0,3,4,5,12,345,Loyal Customers
